[2025-11-12T23:30:54.763Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-12T23:31:04.345Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-14T02:02:29.474Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-14T02:02:54.989Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-14T16:46:29.850Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-14T16:46:49.518Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-14T16:47:49.502Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-14T16:47:49.539Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-14T16:48:49.244Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-14T17:34:02.507Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-14T17:34:02.522Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-14T18:40:42.257Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:03:43.959Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:03:57.234Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:03:57.360Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:03:57.363Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-18T02:04:02.013Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:04:07.383Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:05:59.317Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:06:05.176Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:07:06.031Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:08:06.049Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:08:21.060Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:09:22.055Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:10:22.025Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:11:22.034Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:12:08.586Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:12:08.693Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:12:25.665Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:12:26.263Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:12:26.452Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:12:30.555Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:12:32.121Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:13:14.589Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:13:25.192Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:18:18.730Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T02:34:05.040Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
